Progress,Day,👟 Run | Walk - 30 min,⚖️ Weigh Myself,✉️ Clear Email,💊 Take pills,💪 Push Ups,😴 6 hours of sleep?,📱 Clear Texts,🧼 Shower,🙏 Gratitude Journal,💧 Drink a glass of water,🦷 Brush teeth,💰 Pending Transactions - Mint Mobile,👨🏻‍🦲 Minoxidil,🧴 Skincare,"🪒 Trim | Pluck (hair, nails, etc.)",👕 Laundry – wash | fold | put away,🏋🏻‍♂️ Workout - 30 min,📈  jacoblyman.com – 1 ticket | checkbox,🐍 Practice Python – DataCamp App,🧘🏻‍♂️ Meditate,✍️ 1 blog post,📣 Covert marketing,🏷️ Sell | Listero – 1 ticket | checkbox,💅🏻 Katie,🧮 Practice Math – Brilliant App,💾 Skill IQ,🍽️ Dishes,Checkbox,Created time,Date,Status,🏠 Clean | Organize
,"@January 30, 2024",Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,"January 29, 2024 10:01 PM",,,No
,"@January 29, 2024",No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 28, 2024 10:03 PM",,,No
,"@January 28, 2024",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,"January 27, 2024 10:12 PM",,,No
,"@January 27, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 26, 2024 10:08 PM",,,No
,"@January 26, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 25, 2024 10:02 PM",,,No
,"@January 25, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 24, 2024 10:08 PM",,,No
,"@January 24, 2024",No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"January 23, 2024 10:10 PM",,,No
,"@January 23, 2024",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"January 22, 2024 10:10 PM",,,No
,"@January 19, 2024",No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 18, 2024 10:05 PM",,,No
,"@January 18, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 17, 2024 10:02 PM",,,No
,"@January 17, 2024",No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,"January 16, 2024 10:08 PM",,,No
,"@January 16, 2024",Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"January 15, 2024 10:06 PM",,,No
,"@January 15, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 14, 2024 10:03 PM",,,No
,"@January 14, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 13, 2024 10:03 PM",,,No
,"@January 13, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 12, 2024 10:08 PM",,,No
,"@January 12, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 11, 2024 10:08 PM",,,No
,"@January 11, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 10, 2024 10:02 PM",,,No
